DriverID,MaxNightsOvernightPerWeek,Max Load Pounds,Location,State,Annual Salary,Hourly Wage,Chunk,Start_location,End_location,Chunk_9
JZE01,1,85000,Aberdeen,SD,0,40.75,1,"Aberdeen, SD","Aberdeen, SD",1
MSW01,1,85000,Bismarck,ND,73500,0,2,"Bismarck, ND","Bismarck, ND",2
1SH01,1,85000,Breckenridge,MN,0,39.25,3,"Breckenridge, MN","Breckenridge, MN",3
K0T01,1,85000,Burnsville,MN,0,34.25,3,"Burnsville, MN","Burnsville, MN",1
XCF02,1,85000,Burnsville,MN,0,40,3,"Burnsville, MN","Burnsville, MN",2
KPT01A,1,90000,Casper,WY,0,33.75,4,"Casper, WY","Casper, WY",3
TRX01,1,85000,Casselton,ND,0,38.25,2,"Casselton, ND","Casselton, ND",1
KWN01,1,30000,Dayton,MN,0,42,3,"Dayton, MN","Dayton, MN",2
K8V01,1,85000,Dayton,MN,81000,0,3,"Dayton, MN","Dayton, MN",3
KLS02,4,85000,Dickinson,ND,0,32.75,2,"Dickinson, ND","Dickinson, ND",1
AV101,1,53000,Fergus Falls,MN,0,41.25,3,"Fergus Falls, MN","Fergus Falls, MN",2
MUF01,1,85000,Fergus Falls,MN,0,38,3,"Fergus Falls, MN","Fergus Falls, MN",3
CI802,4,85000,Fergus Falls,MN,0,37.75,3,"Fergus Falls, MN","Fergus Falls, MN",1
RT301,1,85000,Kindred,ND,0,38.25,2,"Kindred, ND","Kindred, ND",2
D1P01,1,85000,Lisbon,ND,0,33.5,2,"Lisbon, ND","Lisbon, ND",3
TDQ02,4,85000,Marshall,MN,0,34.5,3,"Marshall, MN","Marshall, MN",1
JV001,1,85000,Missoula,MT,0,34.5,4,"Missoula, MT","Missoula, MT",2
DWZ01,1,53000,Moorhead,MN,0,38.5,3,"Moorhead, MN","Moorhead, MN",3
FSA02,4,85000,Moorhead,MN,78000,0,3,"Moorhead, MN","Moorhead, MN",1
DOE01,4,85000,Rapid City,SD,0,39.25,1,"Rapid City, SD","Rapid City, SD",2
AOI01,1,85000,Redfield,SD,0,38.5,1,"Redfield, SD","Redfield, SD",3
MYO01,1,40000,Salt Lake City,UT,0,35.75,4,"Salt Lake City, UT","Salt Lake City, UT",1
KGS01A,1,90000,Salt Lake City,UT,0,36.25,4,"Salt Lake City, UT","Salt Lake City, UT",2
KGS01B,1,125000,Salt Lake City,UT,84000,0,4,"Salt Lake City, UT","Salt Lake City, UT",3
OHH01,1,85000,Washburn,ND,0,36,2,"Washburn, ND","Washburn, ND",1
MD001,1,85000,Webster,SD,0,39.75,1,"Webster, SD","Webster, SD",2
